Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.33387756347656,135480400
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,71.63066101074219,146322800
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.20143127441406,118387200
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,71.8618392944336,108872000
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.01783752441406,132079200
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,74.56877136230469,170108400
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,74.73737335205078,140644800
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.33409118652344,121532000
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.30332946777344,161954400
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,74.98059844970703,121923600
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,75.91986083984375,108829200
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,76.7603759765625,137816400
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.24016571044922,110843200
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,76.51229858398438,101832400
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,76.88079833984375,104472000
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,76.65921020507812,146537600
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,74.40503692626953,161940000
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,76.50990295410156,162234000
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.11144256591797,216229200
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,77.99823760986328,126743200
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,74.5398941040039,199588400
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,74.33518981933594,173788400
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,76.78926849365234,136616400
